Date,City,Cause of Death
11/24/2002,North Bay -  Ontario -  Canada,Natural Disaster
11/25/2002,Mississauga -  Ontario -  Canada,Natural Disaster
11/26/2002,Highway -  Lytton -  British Columbia -  Canada,Veh. Accident-Auto
11/26/2002,Highway -  Lytton -  British Columbia -  Canada,Veh. Accident-Auto
12/25/2002,Vancouver -  British Columbia -  Canada,Suicide
01/11/2003,Levis -  Quebec -  Canada,Veh. Accident-Other
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Range Near Revelstoke -  British Columbia -  Canada,Other Accident
03/15/2003,Lake Agnus -  Banff National Park -  Alberta -  Canada,Other Accident
03/17/2003,Kokanee Glacier Provincial Park -  British Columbia -  Canada,Natural Disaster
03/17/2003,Kokanee Glacier Provincial Park -  British Columbia -  Canada,Natural Disaster
05/16/2003,63 Miles Southeast Of Whitehorse -  Yukon Territory -  Canada,Veh. Accident-Auto
05/17/2003,Ste Agathe Des Monts -  Quebec -  Canada,Drowning
05/19/2003,Watson Lake -  Yukon Territory -  Canada,Veh. Accident-Motorcycle
06/18/2003,2 Kilometers South East Of Nimpo Lake -  British Columbia -  Canada,Air Accident
06/18/2003,2 Kilometers South Of Nimpo Lake -  British Columbia -  Canada,Air Accident
06/18/2003,Kilo 1176.8 Alaska Highway Near Smart River -  British Columbia -  Canada,Veh. Accident-Auto
06/27/2003,Tatshenshini River In The Yukon Territory -  Canada,Drowning
07/03/2003,Barnwell -  Alberta -  Canada,Other Accident
07/14/2003,Highway #1 -  1 Km. West Of Lake Louise -  Alberta -  Canada,Veh. Accident-Other
07/14/2003,Highway #1 -  1 Km. West Of Lake Louise -  Alberta -  Canada,Veh. Accident-Other
07/22/2003,Quartz Rd. In Whitehorse -  Yukon -  Canada,Veh. Accident-Pedestrian
07/26/2003,Km 1182 Of Alaska Highway -  British Columbia -  Canada,Veh. Accident-Auto
07/31/2003,Rutherford River -  British Columbia -  Canada,Drowning
08/18/2003,Manuels -  Newfoundland -  Canada,Suicide
09/17/2003,St. Anicet -  Quebec -  Canada,Air Accident
01/04/2004,Salt Spring Island -  British Columbia -  Canada,Suicide
01/08/2004,Albert Canyon-revelstoke -  British Columbia -  Canada,Natural Disaster
02/02/2004,Lady Bird Creek - 15 Km Nw Of Castlegar -  British Columbia -  Canada,Natural Disaster
02/11/2004,St. Michel Des Saints -  Quebec -  Canada,Other Accident
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
04/09/2004,Mount Vice President -  British Columbia -  Canada,Other Accident
04/11/2004,Saint-francois De Madawaska -  New Brunswick -  Canada,Homicide
04/19/2004,Montreal -  Quebec -  Canada,Suicide
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/30/2004,Hwy 405 At Queenston - Lewiston Bridge -  Niagara Region -  Canada,Veh. Accident-Auto
07/09/2004,Rocky Lake -  Manitoba -  Canada,Other Accident
09/03/2004,Seton General Hosptal -  Jasper -  Alberta -  Canada,Veh. Accident-Auto
09/29/2004,Lorraine -  Quebec -  Canada,Homicide
09/29/2004,Lorraine -  Quebec -  Canada,Homicide
09/29/2004,Lorraine -  Quebec -  Canada,Suicide
11/05/2004,Halifax -  Nova Scotia -  Canada,Other Accident
01/24/2005,St. Georges -  Quebec -  Canada,Other Accident
02/02/2005,St Jean Sur Richelieu -  Quebec -  Canada,Veh. Accident-Auto
02/09/2005,Edmonton -  Alberta -  Canada,Veh. Accident-Auto
02/09/2005,Highway 28 Near Vilna -  Alberta -  Canada,Veh. Accident-Auto
05/19/2005,Sam Fprd Fiord -  Nunavut Territory -  Canada,Other Accident
05/25/2005,Grouse Mountain -  North Vancouver -  British Columbia -  Canada,Other Accident
07/08/2005,Route 431 -  Tablelands Mountain Area -  Newfoundland -  Canada,Veh. Accident-Auto
07/10/2005,Moose Jaw -  Saskatchewan -  Canada,Air Accident
07/18/2005,Invermere -  British Columbia -  Canada,Other Accident
07/31/2005,Chemin Du Lac Gerry -  Packington -  Quebec,Veh. Accident-Auto
08/09/2005,Sundre -  Alberta -  Canada,Air Accident
08/23/2005,Laval -  Quebec -  Canada,Other Accident
08/23/2005,Laval -  Quebec -  Canada,Other Accident
09/14/2005,Nursey Lake Outpost -  Nursey Township -  Ontario -  Canada,Other Accident
09/14/2005,Nursey Lake Outpost -  Nursey Township -  Ontario -  Canada,Other Accident
09/14/2005,Nursey Lake Outpost -  Nursey Township -  Ontario -  Canada,Other Accident
10/01/2005,Montreal -  Quebec -  Canada,Veh. Accident-Pedestrian
10/23/2005,Whitchurch-stoufville -  Ontario -  Canada,Drug-Related
12/04/2005,Blackcomb Mountain -  British Columbia -  Canada,Other Accident
04/24/2006,Ste. Foy -  Quebec -  Canada,Suicide
04/29/2006,Toronto -  Ontario -  Canada,Veh. Accident-Auto
07/08/2006,Beddeck -  Nova Scotia -  Canada,Other Accident
07/27/2006,Wildwood -  Aberta -  Canada,Veh. Accident-Auto
08/02/2006,Kitwanga -  British Columbia - canada,Veh. Accident-Auto
08/14/2006,Kenora -  Ontario -  Canada,Drowning
11/04/2006,Halifax -  Nova Scotia -  Canada,Homicide
02/04/2007,Bell Island -  Newfoundland And Labrador -  Canada,Drowning - Beach 
03/09/2007,Hall Mountain -  Revelstoke -  British Columbia,Other Accident
07/03/2007,North Bay -  Ontario -  Canada,Drowning-Lake
07/29/2007,Etobicoke -  Ontario -  Canada,Suicide
08/13/2007,Temiscamingue -  Quebec -  Canada,Drowning-Lake
09/23/2007,Calgary -  Alberta -  Canada,Homicide
11/25/2007,Caledon -  Ontario -  Canada,Veh. Accid-Auto
12/09/2007,Vancouver -  British Columbia -  Canada,Suicide
12/12/2007,Montreal -  Quebec -  Canada,Veh. Accid-Auto
05/07/2008,British Columbia -  Canada,Veh. Accid-Auto
05/24/2008,Lake Manitou -  Ontario -  Canada,Drowning-Lake
07/26/2008,Summerland -  British Columbia -  Canada,Drowning- LAKE
09/13/2008,Alberta -  Canada,Drowning-LAKE
10/22/2008,Ridgetown -  Ontario -  Canada,Other Accident
03/12/2009,Chilliwack -  British Columbia -  Canada,Veh. Accid-Auto
03/12/2009,Chilliwack -  British Columbia -  Canada,Veh. Accid-Auto
03/12/2009,Chilliwack -  British Columbia -  Canada,Veh. Accid-Auto
04/23/2009,Halifax -  Nova Scotia -  Canada,Suicide
07/09/2009,Red Lake -  Ontario -  Canada,Veh. Accid-Auto
07/16/2009,Alberta -  Canada,Veh. Accid-Motorcy.
07/16/2009,Alberta -  Canada,Veh. Accid-Motorcy.
07/19/2009,Sudbury -  Ontario -  Canada,Veh. Accid-Auto
07/27/2009,Alberta -  Canada,Other Accident
07/28/2009,Ontario -  Canada,Suicide
08/03/2009,Toronto -  Canada,Suicide
08/04/2009,Nahanni Butte - Fort Laird - NT -  Canada,Air Accident
08/09/2009,Sidney - British Columbia -  Canada,Maritime Accident
08/13/2009,Bella Coola - British Columbia -  Canada,Drowning
08/14/2009,Alberta -  Canada,Drug-Related
08/27/2009,British Columbia -  Canada,Drowning
09/16/2009,Yukon -  Canada,Suicide
10/09/2009,Montreal -  Canada,Drowning
11/29/2009,Saturna Island - British Columbia -  Canada,Air Accident
03/21/2010,Thousand Islands -  Ontario -  Canada,Suicide
06/01/2010,Montreal -  Canada,Suicide
06/19/2010,British Columbia -  Canada,Veh. Accid-Auto
06/19/2010,British Columbia -  Canada,Veh. Accid-Auto
07/03/2010,Toronto -  Ontario -  Canada,Drowning
07/09/2010,Montreal -  Quebec -  Canada,Drug-Related
07/11/2010,Ontario -  Canada,Veh. Accid-Motorcy.
07/11/2010,Savary Island - British Columbia -  Canada,Other Accident
07/28/2010,Quebec -  Canada,Veh. Accid-Other
08/14/2010,Ontario -  Canada,Veh. Accid-Auto
08/19/2010,London -  Ontario -  Canada,Veh. Accid-Motorcy.
08/28/2010,Gananoque -  Ontario -  Canada,Drowning
10/07/2010,Ontario -  Canada,Veh. Accid-Auto
10/20/2010,Mississauga -  Ontario -  Canada,Veh. Accid-Auto
11/07/2010,Canada,Suicide
02/04/2011,Vancouver - BC - Canada,Other Accident
02/17/2011,Toronto -  Ontario -  Canada,Suicide
02/24/2011,Calgary -  Alberta -  Canada,Suicide
04/01/2011,Calgary -  Alberta -  Canada,Other Accident
05/25/2011,Ontario -  Canada,Drowning
07/04/2011,Toronto - Ontario -  Canada,Suicide
07/18/2011,Calgary -  Alberta -  Canada,Veh. Accid-Motorcy.
07/20/2011,Boswell -  British Columbia -  Canada,Other Accident
07/22/2011,British Columbia -  Canada,Veh. Accid-Auto
07/22/2011,British Columbia -  Canada,Veh. Accid-Auto
07/22/2011,British Columbia -  Canada,Veh. Accid-Auto
07/22/2011,British Columbia -  Canada,Veh. Accid-Auto
08/16/2011,Ontario -  Canada,Veh. Accid-Other
08/29/2011,Ontario -  Canada,Air Accident
09/20/2011,Englehart - Ontario -  Canada,Drowning
01/06/2012,Golden -  British Columbia -  Canada,Other Accident
03/21/2012,Bonnington Mt. -  British Columbia -  Canada,Other Accident
05/04/2012,Morell -  Prince Edward Island -  Canada,Other Accident
06/01/2012,Calgary -  Alberta -  Canada,Vehicle Accident - Auto
08/13/2012,Naughton -  Ontario -  Canada,Drowning
09/01/2012,Montreal -  Quebec -  Canada,Suicide
09/02/2012,Stephenville -  Newfoundland -  Canada,Drowning
09/23/2012,Montreal -  Quebec -  Canada,Other Accident
09/26/2012,Kenora -  Ontario -  Canada,Drowning
10/16/2012,Surrey -  British Columbia -  Canada,Suicide
01/06/2013,British Columbia -  Canada,Veh. Accid-Auto
01/07/2013,British Columbia -  Canada,Other Accident
01/12/2013,British Columbia -  Canada,Homicide
02/04/2013,Yukon -  Canada,Other Accident
02/19/2013,Highway 3 -  Canada,Veh. Accid-Other
03/25/2013,British Columbia -  Canada,Other Accident
04/13/2013,British Columbia -  Canada,Air Accident
05/10/2013,Alberta -  Canada,Suicide
06/07/2013,Alberta -  Canada,Veh. Accid-Auto
06/10/2013,British Columbia -  Canada,Other Accident
06/20/2013,Highway 101 -  Canada,Veh. Accid-Auto
07/04/2013,Montreal -  Quebec -  Canada,Suicide
07/07/2013,British Columbia -  Canada,Veh. Accid- Other
08/20/2013,British Columbia -  Canada,Drowning
09/05/2013,Ontario -  Canada,Other Accident
09/09/2013,Alberta -  Canada,Other Accident
10/11/2013,Snake Island -  Near Nanaimo -  BC -  Canada,Maritime Accident
10/11/2013,Snake Island -  Near Nanaimo -  BC -  Canada,Maritime Accident
10/25/2013,Kingston -  Ontario -  Canada,Suicide
11/22/2013,British Columbia -  Canada,Veh. Accid-Auto
03/07/2014,FT.Vermilion -  Alberta,Other Accident
04/12/2014,Calgary - Alberta,Other Accident
04/18/2014,Calgary - Alberta,Other Accident
05/24/2014,Toronto -  Ontario,Veh. Accid-Train
05/26/2014,Houston -  British Columbia,Other Accident
05/30/2014,Whistler - British Columbia,Other Accident
07/06/2014,Calgary -  Alberta,Drowning
07/06/2014,Otonabee-South Monaghan - Ontario,Drowning
07/14/2014,Sydeny - Nova Scotia,Veh. Accid-Bus
07/22/2014,Rainy River -  Ontario,Other Accident
07/24/2014,Richmond - British Columbia,Suicide
08/26/2014,Toronto - Ontario,Drug-Related
09/02/2014,Baie Comeau - Quebec,Air Accident
09/27/2014,Niagra Falls -  Ontaria,Suicide
10/27/2014,Ontario,Other Accident
11/21/2014,Toronto -  Ontario,Veh. Accid-Pedestr.
01/30/2015,Rossland -  BC,Veh. Accid-Motorcy.
04/21/2015,Saanich -  British Columbia,Homicide
04/24/2015,Toronto -  Ontario,Suicide
05/08/2015,Surrey -  BC,Air Accident
06/13/2015,Montreal -  Quebec,Suicide
06/18/2015,Lac La Biche -  Alberta,Veh. Accid-Auto
07/06/2015,Toronto,Suicide
07/24/2015,New Westminster,Other Accident
07/27/2015,Dawson City ,Veh. Accid-Motorcy.
08/06/2015,Toronto,Suicide
08/07/2015,Yarmouth,Suicide
08/26/2015,Hamilton,Veh. Accid-Auto
09/01/2015,Vancouve,Suicide
09/10/2015,Westlock,Veh. Accid-Motorcy.
10/12/2015,Vancouver,Suicide
11/17/2015,Alberta,Veh. Accid-Auto
11/24/2015,BRAMPTON,Suicide
12/22/2015,Alberta,Suicide
12/28/2015,108 Mile Ranch,Veh. Accid-Auto
12/30/2015,Regina,Suicide
01/14/2016,Bellevue,Veh. Accid-Auto
01/20/2016,Vancouver,Drug-Related
02/07/2016,Winnipeg,Suicide
03/02/2016,Quebec City,Other Accident
04/22/2016,Montreal,Drowning
06/26/2016,Toronto,Drowning
07/12/2016,Dease Lake -  British Columbia,Veh. Accid-Auto
08/24/2016,Victoria -  British Columbia,Other Accident
08/25/2016,Yellowknife -  Northwest Territories,Drowning
09/16/2016,Melford -  Nova Scotia,Veh. Accid-Auto
11/05/2016,Toronto -  Ontario,Homicide
01/21/2017,British Columbia,Other Accident
03/14/2017,Lake Louise,Natural Disaster
03/23/2017,British Columbia,Other Accident
04/12/2017,Ontario,Veh. Accid-Auto
07/05/2017,Vancouver -  British Columbia,Suicide
07/20/2017,Halifax -  Nova Sotia,Other Accident
08/13/2017,Canada Place - Vancouver - BC,Veh. Accid-Bus
08/16/2017,Hanna -  Alberta,Veh. Accid-Auto
08/16/2017,Hanna -  Alberta,Veh. Accid-Auto
08/16/2017,Hanna -  Alberta,Veh. Accid-Auto
08/16/2017,Saskatoon -  Saskatchewan,Other Accident
01/13/2018,Kelowna -  British Columbia,Undetermined/Unknown
01/21/2018,Lethbridge -  Alberta,Suicide
01/31/2018,Ponoka -  Alberta,Undetermined/Unknown
06/01/2018,The Wolves -  New Brunswick,Drowning
06/09/2018,Ville Marie - Quebec,Homicide
06/26/2018,Montreal -  Quebec,Veh. Accid-Auto
07/11/2018,Quebec - Quebec Province,Other Accident
08/06/2018,Dogskin Lake -  Manitoba,Drowning
08/07/2018,Jasper -  Alberta,Veh. Accid-Auto
08/07/2018,Jasper -  Alberta,Veh. Accid-Auto
08/16/2018,Cherhill -  Alberta,Air Accident
08/17/2018,Lake of the Woods -  Ontario,Drowning
08/25/2018,St. John's -  Newfoundland and Labrador,Other Accident
09/15/2018,Barrio Lake -  Kemptville -  Nova Scotia,Drowning
03/23/2019,Whistler -  Canada,Other Accident



